Page,Device,Performance,Accessibility,Best Practices,SEO,LCP,FID,CLS,FCP,TTI,TBT,Total Size,Requests
home,mobile,29,100,100,83,13.0 s,150 ms,1.165,7.3 s,13.0 s,190 ms,Total size was 14,399 KiB,45
home,desktop,57,100,100,83,2.2 s,40 ms,0.682,1.5 s,2.2 s,0 ms,Total size was 13,795 KiB,48
about,mobile,33,100,100,83,11.3 s,90 ms,0.88,7.2 s,11.4 s,60 ms,Total size was 17,339 KiB,48
about,desktop,63,100,100,83,2.2 s,30 ms,0.386,1.3 s,2.2 s,0 ms,Total size was 12,010 KiB,48
work,mobile,32,100,100,83,11.5 s,80 ms,0.88,7.2 s,12.5 s,20 ms,Total size was 3,458 KiB,44
work,desktop,64,100,100,83,2.0 s,20 ms,0.386,1.2 s,2.0 s,0 ms,Total size was 3,457 KiB,44
solutions,mobile,32,100,100,83,13.5 s,130 ms,0.88,7.2 s,13.6 s,100 ms,Total size was 10,332 KiB,36
solutions,desktop,50,100,100,83,5.6 s,40 ms,0.386,1.3 s,5.6 s,0 ms,Total size was 10,305 KiB,36
blog,mobile,32,98,100,75,11.0 s,90 ms,0.88,7.2 s,12.1 s,30 ms,Total size was 10,406 KiB,29
blog,desktop,56,98,100,75,2.9 s,20 ms,0.453,1.3 s,2.9 s,0 ms,Total size was 8,353 KiB,29
